,Job_Role,Company,Job_location,Employment_type,Posted,Easy_Apply,Seniority_level,Industries,Job_Function
70,Software Development Engineer II,Flipkart,"Bengaluru, Karnataka, India",Full-time,1 week ago,No,Not Applicable,"Technology, Information and Internet and Manufacturing",Engineering and Information Technology
71,Software Development Engineer Backend- I,Upstox,Mumbai Metropolitan Region,,3 days ago,No,,,
73,Junior Software Developer in Noida,startelelogic,"Noida, Uttar Pradesh, India",,3 days ago,No,,,
76,Software Engineer,Myntra,"Bengaluru, Karnataka, India",,1 month ago,No,,,
79,Full Stack Developer - Junior Full-Time,HyreFox Consultants,"Jaipur, Rajasthan, India",,3 days ago,No,,,
82,Software Engineer,Intuit,"Bengaluru, Karnataka, India",Full-time,1 week ago,Yes,Mid-Senior level,Software Development,Engineering and Information Technology
83,Software Development Engineer II,Flipkart,"Bengaluru, Karnataka, India",Full-time,6 days ago,No,Not Applicable,"Technology, Information and Internet and Manufacturing",Engineering and Information Technology
86,"Software Engineer, Geo",Google,"Bengaluru, Karnataka, India",,5 days ago,No,,,
88,Software Engineer,HCLTech,"Bengaluru, Karnataka, India",,2 weeks ago,No,,,
89,Front-End SDE-1,Locus,"Bengaluru, Karnataka, India",,1 week ago,No,,,
97,Software Development Engineer - II/III (Frontend),Upstox,"Bengaluru, Karnataka, India",,3 days ago,No,,,
99,"Software Engineer II, Full Stack, Geo",Google,"Bengaluru, Karnataka, India",Full-time,4 days ago,No,Not Applicable,"Information Services and Technology, Information and Internet",Information Technology and Engineering
100,Software Developer,FreshToHome,"Bengaluru, Karnataka, India",Full-time,1 week ago,No,Entry level,Pharmaceutical Manufacturing,Engineering and Information Technology
101,Full Stack Developer,Jio,"Tirupati Urban, Andhra Pradesh, India",,3 days ago,No,,,
102,Python Developer,Infosys,"Hyderabad, Telangana, India",,4 days ago,No,,,
104,Software Engineer,PayPal,"Bengaluru, Karnataka, India",,1 week ago,No,,,
106,Full Stack Developer (Fresher),The Golden Rise,"Vijayawada, Andhra Pradesh, India",,,No,,,
107,Software Development Engineer - Ii/Iii (Frontend),Upstox,"Delhi Cantonment, Delhi, India",,3 days ago,No,,,
108,Jr. Java Developer,TekIT Software Solutions Pvt. Ltd. (India & USA),"Pune, Maharashtra, India",,,No,,,
111,Full Stack Developer,Jio,"Thane, Maharashtra, India",,4 days ago,No,,,
114,Software Engineer,HashiCorp,"Bengaluru, Karnataka, India",Full-time,2 weeks ago,No,Entry level,Software Development,Engineering and Information Technology
117,Front End Developer-Shell Square-CTC 24 LPA Maximum,JOBS 'n TA HR Services,"Thiruvananthapuram, Kerala, India",,1 day ago,No,,,
118,Software Engineer,Sulzer,"Navi Mumbai, Maharashtra, India",,3 weeks ago,No,,,
119,Junior Software Developer,Solvers India,"Uttarakhand, India",,4 weeks ago,No,,,
