,Job_Role,Company,Job_location,Employment_type,Posted,Easy_Apply,Seniority_level,Industries,Job_Function
0,Python Developer,Infosys,"Bengaluru East, Karnataka, India",Full-time,4 days ago,No,Entry level,IT Services and IT Consulting,Engineering and Information Technology
1,Python Developer,Infosys,"Hyderabad, Telangana, India",,5 days ago,No,,,
2,Python Developer,Wipro,"Hyderabad, Telangana, India",Full-time,1 week ago,No,Not Applicable,IT Services and IT Consulting,Engineering and Information Technology
3,Python Developer,Infosys,"Chandigarh, Chandigarh, India",,5 days ago,No,,,
4,Python Developer,Genpact,"Bengaluru, Karnataka, India",Full-time,3 days ago,Yes,Mid-Senior level,"IT Services and IT Consulting, Information Services, and Business Consulting and Services","Engineering, Information Technology, and Consulting"
5,Remote Python Developer,Turing,"Vishakhapatnam, Andhra Pradesh, India",,3 weeks ago,No,,,
6,Remote Python Developer,Turing,"Lucknow, Uttar Pradesh, India",,3 weeks ago,No,,,
7,Remote Python Programmer,Turing,"Vishakhapatnam, Andhra Pradesh, India",,3 weeks ago,No,,,
8,Python Developer,LTIMindtree,"Bengaluru, Karnataka, India",,2 months ago,No,,,
9,Remote Python Developer,Turing,"Nagpur, Maharashtra, India",,3 weeks ago,No,,,
10,Python Developer,Tata Technologies,"Pune, Maharashtra, India",,2 months ago,No,,,
11,Remote Python Developer,Turing,"Bhubaneshwar, Odisha, India",,3 weeks ago,No,,,
12,Python Developer,S&P Global,"Gurugram, Haryana, India",,2 weeks ago,No,,,
13,Interesting Job Opportunity: Hindustan Times - Software Development Engineer II/III - Python,Hindustan Times,"Gurugram, Haryana, India",Full-time,1 month ago,No,Entry level,"Software Development, Technology, Information and Internet, and Data Infrastructure and Analytics",Information Technology
14,Remote Python Developer,Turing,"Kochi, Kerala, India",Full-time,3 weeks ago,No,Entry level,Software Development,Engineering and Information Technology
15,Python Developer,SmartQ,"Bengaluru, Karnataka, India",,3 weeks ago,No,,,
16,Remote Python Programmer,Turing,"Nashik, Maharashtra, India",Full-time,3 weeks ago,No,Entry level,Software Development,Engineering and Information Technology
17,Python Developer,Jio,"Navi Mumbai, Maharashtra, India",,5 days ago,No,,,
