Job_Role,Company,Job_location,Employment_type,Posted,Easy_Apply,Seniority_level,Industries,Job_Function
Data Analyst,RipplesIndia Group,"Gurgaon, Haryana, India",Full-time,1 week ago,Yes,Associate,"Aviation and Aerospace Component Manufacturing, Motor Vehicle Manufacturing, and Airlines and Aviation",Information Technology
KreditBee - Senior Data Analyst - SQL/Python,KreditBee,"Bengaluru, Karnataka, India",Full-time,2 weeks ago,No,Mid-Senior level,"Software Development, Technology, Information and Media, and Data Infrastructure and Analytics",Information Technology
Analyst - Power BI/Oracle OTBI Reporting,"Dubai Jobs, Gulf Jobs, Jobs in Dubai, Qatar, Kuwait - Boyen Haddin & The Giant HR Consultant",Mumbai Metropolitan Region,Full-time,1 week ago,Yes,Entry level,Staffing and Recruiting,Business Development and Sales
Sr. Data Analyst,WIN Home Inspection,"Delhi, India",Full-time,,Yes,Mid-Senior level,Consumer Services,Information Technology
Python Developer,Acme Services,"Mumbai, Maharashtra, India",Full-time,1 month ago,No,Entry level,Human Resources Services,Other
Data Analyst - SQL/Power BI,Right Track Corporate Services,"Bengaluru, Karnataka, India",Full-time,2 weeks ago,No,Mid-Senior level,Staffing and Recruiting,Information Technology
FreshToHome - Data Analyst - Python/SQL,FRESHTOHOME FOODS,"Bengaluru, Karnataka, India",,4 weeks ago,,,,
Data Analyst (3-6 year experience),Gojek,"Bengaluru, Karnataka, India",Full-time,1 week ago,No,Mid-Senior level,"Technology, Information and Internet",Information Technology
Data Analyst,iXceed Solutions,"Chennai, Tamil Nadu, India",,,Yes,Full-time,,
Data Analyst - Website Reporting &amp; Analytics,Angara Ecommerce Pvt. Ltd.,"Jaipur, Rajasthan, India",Full-time,1 month ago,No,Entry level,"Software Development, Technology, Information and Media, and Data Infrastructure and Analytics",Information Technology
BC_Analytics_Business_Intelligence_Analyst,EY,"Kanayannur, Kerala, India",Full-time,1 day ago,No,Mid-Senior level,Professional Services,Other
Python Developer / Any Graduate,SAZ India,India,Full-time,1 week ago,No,Entry level,Staffing and Recruiting,Engineering and Information Technology
"Business Intelligence Analyst, - Data Insights & Visualization",General Mills,"Mumbai, Maharashtra, India",Full-time,2 months ago,No,Mid-Senior level,Manufacturing,"Research, Analyst, and Information Technology"
